age,session,count
25 ~ 29,2,0
25 ~ 29,3,0
25 ~ 29,4,2
25 ~ 29,5,2
25 ~ 29,6,1
25 ~ 29,7,1
25 ~ 29,8,0
30 ~ 34,2,5
30 ~ 34,3,4
30 ~ 34,4,6
30 ~ 34,5,9
30 ~ 34,6,9
30 ~ 34,7,4
30 ~ 34,8,1
35 ~ 39,2,25
35 ~ 39,3,21
35 ~ 39,4,21
35 ~ 39,5,16
35 ~ 39,6,17
35 ~ 39,7,4
35 ~ 39,8,6
40 ~ 44,2,31
40 ~ 44,3,32
40 ~ 44,4,41
40 ~ 44,5,41
40 ~ 44,6,23
40 ~ 44,7,7
40 ~ 44,8,9
45 ~ 49,2,20
45 ~ 49,3,31
45 ~ 49,4,39
45 ~ 49,5,48
45 ~ 49,6,52
45 ~ 49,7,12
45 ~ 49,8,19
50 ~ 54,2,22
50 ~ 54,3,23
50 ~ 54,4,35
50 ~ 54,5,32
50 ~ 54,6,36
50 ~ 54,7,22
50 ~ 54,8,9
55 ~ 59,2,14
55 ~ 59,3,14
55 ~ 59,4,21
55 ~ 59,5,14
55 ~ 59,6,27
55 ~ 59,7,16
55 ~ 59,8,19
60 ~ 64,2,6
60 ~ 64,3,3
60 ~ 64,4,9
60 ~ 64,5,10
60 ~ 64,6,9
60 ~ 64,7,10
60 ~ 64,8,14
65 ~ 69,2,1
65 ~ 69,3,0
65 ~ 69,4,2
65 ~ 69,5,4
65 ~ 69,6,2
65 ~ 69,7,3
65 ~ 69,8,1
70 ~ 74,2,0
70 ~ 74,3,0
70 ~ 74,4,0
70 ~ 74,5,0
70 ~ 74,6,0
70 ~ 74,7,0
70 ~ 74,8,0
75 ~ 79,2,0
75 ~ 79,3,0
75 ~ 79,4,0
75 ~ 79,5,0
75 ~ 79,6,0
75 ~ 79,7,0
75 ~ 79,8,1
